"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23"
"1","p","x","s","n","t","p","f","c","n","k","e","e","s","s","w","w","p","w","o","p","k","s","u"
"2","e","x","s","y","t","a","f","c","b","k","e","c","s","s","w","w","p","w","o","p","n","n","g"
"5","e","x","s","g","f","n","f","w","b","k","t","e","s","s","w","w","p","w","o","e","n","a","g"
"9","p","x","y","w","t","p","f","c","n","p","e","e","s","s","w","w","p","w","o","p","k","v","g"
"12","e","x","y","y","t","a","f","c","b","n","e","c","s","s","w","w","p","w","o","p","k","s","m"
"15","e","x","f","n","f","n","f","w","b","n","t","e","s","f","w","w","p","w","o","e","k","a","g"
"16","e","s","f","g","f","n","f","c","n","k","e","e","s","s","w","w","p","w","o","p","n","y","u"
"17","e","f","f","w","f","n","f","w","b","k","t","e","s","s","w","w","p","w","o","e","n","a","g"
"20","p","x","s","n","t","p","f","c","n","k","e","e","s","s","w","w","p","w","o","p","n","s","u"
"22","p","x","y","n","t","p","f","c","n","n","e","e","s","s","w","w","p","w","o","p","n","v","g"
"25","e","b","s","w","t","l","f","c","b","g","e","c","s","s","w","w","p","w","o","p","k","s","m"
"26","p","f","s","w","t","p","f","c","n","n","e","e","s","s","w","w","p","w","o","p","n","v","g"
"27","e","x","y","y","t","a","f","c","b","n","e","c","s","s","w","w","p","w","o","p","n","n","m"
"29","e","f","f","n","f","n","f","c","n","k","e","e","s","s","w","w","p","w","o","p","k","y","u"
"32","p","x","y","w","t","p","f","c","n","k","e","e","s","s","w","w","p","w","o","p","n","s","u"
"36","e","x","f","y","t","l","f","w","n","w","t","b","s","s","w","w","p","w","o","p","n","v","d"
"38","p","x","y","n","t","p","f","c","n","w","e","e","s","s","w","w","p","w","o","p","n","s","u"
"41","e","b","y","y","t","a","f","c","b","n","e","c","s","s","w","w","p","w","o","p","n","s","g"
"42","e","x","y","y","t","l","f","c","b","n","e","r","s","y","w","w","p","w","o","p","k","y","p"
"43","e","x","f","n","f","n","f","c","n","g","e","e","s","s","w","w","p","w","o","p","k","y","u"
"44","p","x","y","w","t","p","f","c","n","p","e","e","s","s","w","w","p","w","o","p","n","v","g"
"47","e","x","y","y","t","l","f","c","b","k","e","c","s","s","w","w","p","w","o","p","k","s","m"
"48","e","x","s","w","t","l","f","c","b","w","e","c","s","s","w","w","p","w","o","p","n","n","m"
"49","e","x","y","y","t","l","f","c","b","n","e","r","s","y","w","w","p","w","o","p","n","s","p"
"50","e","f","y","y","t","l","f","c","b","w","e","r","s","y","w","w","p","w","o","p","k","s","p"
"54","p","x","y","n","t","p","f","c","n","k","e","e","s","s","w","w","p","w","o","p","n","v","u"
"56","e","b","y","y","t","a","f","c","b","w","e","c","s","s","w","w","p","w","o","p","k","s","m"
"58","e","b","s","w","t","a","f","c","b","w","e","c","s","s","w","w","p","w","o","p","n","n","g"
"61","e","s","f","g","f","n","f","c","n","k","e","e","s","s","w","w","p","w","o","p","n","v","u"
"63","e","b","s","y","t","l","f","c","b","g","e","c","s","s","w","w","p","w","o","p","n","s","m"
"64","e","b","y","y","t","l","f","c","b","g","e","c","s","s","w","w","p","w","o","p","n","n","m"
"65","e","b","y","w","t","l","f","c","b","n","e","c","s","s","w","w","p","w","o","p","n","s","g"
"67","e","x","s","w","t","l","f","c","b","n","e","c","s","s","w","w","p","w","o","p","k","s","g"
"68","e","f","y","y","t","a","f","c","b","w","e","r","s","y","w","w","p","w","o","p","n","s","g"
"69","e","x","y","y","t","a","f","c","b","w","e","c","s","s","w","w","p","w","o","p","k","n","g"
"71","e","f","f","y","t","l","f","w","n","p","t","b","s","s","w","w","p","w","o","p","n","v","d"
"73","e","f","f","y","t","l","f","w","n","w","t","b","s","s","w","w","p","w","o","p","n","v","d"
"75","e","b","s","y","t","a","f","c","b","k","e","c","s","s","w","w","p","w","o","p","k","s","g"
"78","e","f","y","n","t","l","f","c","b","p","e","r","s","y","w","w","p","w","o","p","n","y","p"
"79","p","x","y","n","t","p","f","c","n","w","e","e","s","s","w","w","p","w","o","p","n","v","u"
"82","p","x","y","w","t","p","f","c","n","w","e","e","s","s","w","w","p","w","o","p","k","s","g"
"83","e","f","f","g","f","n","f","c","n","n","e","e","s","s","w","w","p","w","o","p","n","y","u"
"84","e","x","f","g","f","n","f","w","b","n","t","e","s","s","w","w","p","w","o","e","n","s","g"
"88","e","x","s","w","t","l","f","c","b","n","e","c","s","s","w","w","p","w","o","p","n","s","g"
"89","e","f","y","n","t","l","f","c","b","w","e","r","s","y","w","w","p","w","o","p","k","y","g"
"90","e","s","f","n","f","n","f","c","n","n","e","e","s","s","w","w","p","w","o","p","n","v","u"
"91","e","x","f","n","f","n","f","c","n","n","e","e","s","s","w","w","p","w","o","p","n","y","u"
"93","e","x","y","y","t","a","f","c","b","g","e","c","s","s","w","w","p","w","o","p","k","s","g"
"94","e","x","y","y","t","l","f","c","b","g","e","c","s","s","w","w","p","w","o","p","k","n","m"
"95","e","x","s","n","f","n","f","w","b","n","t","e","s","s","w","w","p","w","o","e","n","a","g"
"96","e","x","s","w","t","a","f","c","b","g","e","c","s","s","w","w","p","w","o","p","n","s","g"
